,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Profit_per_Hectare_INR
Rainfall_mm,1.0,0.22220309999378796,0.541590826677969,-0.36550104814094847,0.021944563668850576,0.5278418211724446,0.004591221438263007,0.012179798580531014,0.020904379636858064,0.023944702068729617,0.00897058043557055,-0.01790215356016393,0.12980072778766477,0.0026683630338991465,0.10975514123063312,0.6274756468077285,0.145668891147539
Avg_Temperature_C,0.22220309999378796,1.0,0.16877579156495295,-0.05396656172408272,0.031141113745043737,0.11997543489947296,0.021619952342694766,-0.0003523237646218099,0.02094603461691972,0.014904974094733483,0.010265290643017747,-0.03714708374431618,0.0019787967395589667,0.025697111571638977,-0.00027773088383971264,0.25759324444895154,0.0021405559497627894
Humidity_pct,0.541590826677969,0.16877579156495295,1.0,-0.30323064711297637,0.025404544649833136,0.46086169978581976,0.0010533181715976683,-0.009627079036194837,-0.010308577574529342,0.027515004939459558,-0.002547284063837592,-0.045434899379154355,0.08080400505156021,-0.004741511796766238,0.06319848678757231,0.5517073563507164,0.09012390032869763
Sunlight_Hours_Day,-0.36550104814094847,-0.05396656172408272,-0.30323064711297637,1.0,-0.017700613027645126,-0.3012463548194731,0.010528945889945407,0.0006348766948454949,-0.013532659421007282,-0.013840117931966156,-0.025084296313351167,0.01984974031137861,-0.05136985085043686,0.004962731787027114,-0.042446842883127056,-0.25489817138450105,-0.06056764057729017
Soil_pH,0.021944563668850576,0.031141113745043737,0.025404544649833136,-0.017700613027645126,1.0,0.0286828363936185,0.006733213718110894,0.014109699823021456,-0.02219553626523399,-0.005773775513609674,-0.01119582460763752,-0.008713527464889407,-0.03106085958724868,-0.024972290388579548,-0.0007116132444228765,0.030226426033134243,-0.010612531138598067
Soil_Moisture_pct,0.5278418211724446,0.11997543489947296,0.46086169978581976,-0.3012463548194731,0.0286828363936185,1.0,0.0028988443925137665,0.007162184413891076,0.00784504115135515,0.011145467064197662,-0.0187766706915778,-0.02064274265671099,0.09653624391573848,-0.009020530363454668,0.0860198439280505,0.39450138314563427,0.11553086434777914
Nitrogen_kg_ha,0.004591221438263007,0.021619952342694766,0.0010533181715976683,0.010528945889945407,0.006733213718110894,0.0028988443925137665,1.0,0.00528095916311468,0.008886639391828313,-0.029265013233309007,0.02059457634018669,0.014790999037799641,0.08169443097152614,0.017626893015846804,0.06504505351745961,-0.013175888753473565,0.07671473527114864
Phosphorus_kg_ha,0.012179798580531014,-0.0003523237646218099,-0.009627079036194837,0.0006348766948454949,0.014109699823021456,0.007162184413891076,0.00528095916311468,1.0,0.0012183765896837844,0.007764395789669531,-0.03247273077013729,-0.007843070433919986,0.04731857536571441,-0.004828831663146572,0.04710808325532824,0.020300139261944558,0.07354049490401167
Potassium_kg_ha,0.020904379636858064,0.02094603461691972,-0.010308577574529342,-0.013532659421007282,-0.02219553626523399,0.00784504115135515,0.008886639391828313,0.0012183765896837844,1.0,0.011812306057951683,-0.006666724739087633,0.0038023898450573056,0.02506062111985896,0.005146595272542687,0.010062306657554141,0.0075940653003673505,0.023404059025992335
Fertilizer_kg_ha,0.023944702068729617,0.014904974094733483,0.027515004939459558,-0.013840117931966156,-0.005773775513609674,0.011145467064197662,-0.029265013233309007,0.007764395789669531,0.011812306057951683,1.0,0.004041418019034058,0.012698963032057562,0.004080306731545429,0.005861597490906673,0.0028944493681011315,0.011751214849802412,-0.11424323051672061
Pesticide_Litre_ha,0.00897058043557055,0.010265290643017747,-0.002547284063837592,-0.025084296313351167,-0.01119582460763752,-0.0187766706915778,0.02059457634018669,-0.03247273077013729,-0.006666724739087633,0.004041418019034058,1.0,-0.0011269619801084576,-4.55507084000101e-05,0.005380379420861713,-0.001118902104483015,-0.4425024880821025,-0.035445686932418057
Seed_Quality_Score,-0.01790215356016393,-0.03714708374431618,-0.045434899379154355,0.01984974031137861,-0.008713527464889407,-0.02064274265671099,0.014790999037799641,-0.007843070433919986,0.0038023898450573056,0.012698963032057562,-0.0011269619801084576,1.0,-2.525107112769319e-05,0.014748778167113742,-0.014918847249988584,-0.024164891150878193,0.0018865924896015126
Yield_Tonnes_Ha,0.12980072778766477,0.0019787967395589667,0.08080400505156021,-0.05136985085043686,-0.03106085958724868,0.09653624391573848,0.08169443097152614,0.04731857536571441,0.02506062111985896,0.004080306731545429,-4.55507084000101e-05,-2.525107112769319e-05,1.0,0.2641724916324681,0.73560052736605,0.06482458622288137,0.5308775092566564
Water_Used_m3,0.0026683630338991465,0.025697111571638977,-0.004741511796766238,0.004962731787027114,-0.024972290388579548,-0.009020530363454668,0.017626893015846804,-0.004828831663146572,0.005146595272542687,0.005861597490906673,0.005380379420861713,0.014748778167113742,0.2641724916324681,1.0,-0.12546758639187766,0.017872843053572902,0.04186405866270932
Water_Efficiency_t_per_1000m3,0.10975514123063312,-0.00027773088383971264,0.06319848678757231,-0.042446842883127056,-0.0007116132444228765,0.0860198439280505,0.06504505351745961,0.04710808325532824,0.010062306657554141,0.0028944493681011315,-0.001118902104483015,-0.014918847249988584,0.73560052736605,-0.12546758639187766,1.0,0.04788730898139629,0.5639794003395466
Disease_Pest_Risk_pct,0.6274756468077285,0.25759324444895154,0.5517073563507164,-0.25489817138450105,0.030226426033134243,0.39450138314563427,-0.013175888753473565,0.020300139261944558,0.0075940653003673505,0.011751214849802412,-0.4425024880821025,-0.024164891150878193,0.06482458622288137,0.017872843053572902,0.04788730898139629,1.0,0.09839933584273719
Profit_per_Hectare_INR,0.145668891147539,0.0021405559497627894,0.09012390032869763,-0.06056764057729017,-0.010612531138598067,0.11553086434777914,0.07671473527114864,0.07354049490401167,0.023404059025992335,-0.11424323051672061,-0.035445686932418057,0.0018865924896015126,0.5308775092566564,0.04186405866270932,0.5639794003395466,0.09839933584273719,1.0
