Crop,Season,Average_Yield,Average_Profit_per_Hectare,Number_of_Farms
Sugarcane,Kharif,53.459120000000006,120564.2873101638,125
Chilli,Kharif,1.7314594594594594,111812.02780151604,185
Sugarcane,Rabi,43.28612403100775,86013.49737716703,129
Chilli,Rabi,1.4650306748466257,85696.17607364032,163
Sugarcane,Zaid,38.42392156862745,68049.97746765258,51
Chilli,Zaid,1.1953125,51578.32211698212,64
Cotton,Kharif,1.3745116279069767,27343.103439948172,215
Groundnut,Kharif,1.4849740932642488,16870.94287506574,193
Cotton,Rabi,1.1983582089552238,13517.7313366699,201
Pulses,Kharif,1.0360633484162896,7043.550160780635,221
Groundnut,Rabi,1.2331638418079096,1927.1849353739055,177
Cotton,Zaid,0.9602173913043479,-3129.2089922865807,92
Pulses,Rabi,0.875962441314554,-3419.7345772530457,213
Maize,Kharif,2.9664102564102564,-4968.276691121599,234
Rice,Kharif,2.6983757961783437,-7986.975923153304,314
Groundnut,Zaid,1.0377777777777777,-8168.146286192174,54
Maize,Rabi,2.6036480686695276,-11776.239791298016,233
Wheat,Kharif,2.253664383561644,-13181.569841836159,292
Rice,Rabi,2.3228467153284673,-14524.71281386875,274
Wheat,Rabi,2.05746835443038,-16083.975452070867,237
Pulses,Zaid,0.6696774193548386,-18905.267837357445,62
Maize,Zaid,2.290952380952381,-20422.115268061185,84
Wheat,Zaid,1.7485882352941176,-25222.788750922686,85
Rice,Zaid,1.9004901960784313,-25266.343215112698,102
